id,sys_user_id,unit_id,id_copy_front,id_copy_back,social_security,achievement,contract_copy,corporate_sign_copy,gradu_cert_copy,pro_qualify_copy,procate_copy,reg_seal_copy,signature_copy,warrant_copy,retirement_certificate
1,1190d12c5c3c11e99f0554ab3a1e6574,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1190d77d5c3c11e99f0554ab3a1e6574,1,3e0e6187-8c6f-4b8f-aebc-834cc782c034.jpg,c4e71908-d840-4f30-af8a-c210e16544e5.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,04f24cdb-2bf3-43c0-94fc-4dcbb19a430b.jpg,NULL
3,1190dace5c3c11e99f0554ab3a1e6574,2,9a5387d4-3029-4d14-9a45-06a1ee1aa818.jpg,c85b4889-f526-44b2-bdc0-736198f44c40.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,bf8c8e1f-ef74-4b32-a4bb-2b9c3cbfa023.jpg,NULL
4,1190dd015c3c11e99f0554ab3a1e6574,2,6fdbcff0-2c63-45bd-a8c5-bb3a084c2d3b.jpg,0fb41f13-0fe1-4b4f-a0f4-88f37ddec698.jpg,NULL,NULL,NULL,d0bb85b8-ca61-4337-be26-0b21aa14d2b8.jpg,NULL,NULL,NULL,NULL,07420eed-9487-4c40-8da1-59cd4dfb6e3f.jpg,NULL,NULL
5,1190df395c3c11e99f0554ab3a1e6574,2,7b4dc7aa-746c-4915-ab25-b846509b89a5.jpg,c9e4105d-1479-47bf-a5b1-c8c4e5f69c2e.jpg,4c01a21f-d21e-464f-b9c1-9c9036c6f0f7.jpg,a8559552-0160-46b8-b8f0-8a6565320e44.jpg,8d0487e4-c8a7-45fe-8fb0-2d9ad0e2050b.jpg,NULL,c88f24be-3327-492a-98dc-7ffe775f018f.jpg,66c93cd9-21ae-4985-89b9-b2f49b583644.jpg,78846f3e-e2fa-4dfe-8940-3b056f765ea2.jpg,141491a3-a53e-4569-b1aa-ad5e67074de9.jpg,NULL,NULL,NULL
6,1190e0f45c3c11e99f0554ab3a1e6574,3,7aa15990-2bf6-4808-a367-365af7aedcd3.jpg,49a01881-0f6d-4769-a08e-92430d450b73.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91db53a9-f29a-473e-b300-98292a226bd9.jpg,NULL
7,1190e2df5c3c11e99f0554ab3a1e6574,3,c76b8ce9-f609-4f46-856a-34c1e589610a.jpg,524ab23a-e702-4d8b-95da-44308773b3b1.jpg,NULL,NULL,NULL,04eb7b47-da09-45d9-99df-fdcefaf884fd.jpg,NULL,NULL,NULL,NULL,8b211651-01b2-4480-9428-d26a39e0dbbe.jpg,NULL,NULL
8,1190e5e35c3c11e99f0554ab3a1e6574,3,44b5036d-5cf7-431b-86ee-3f6fa1196d94.jpg,7ab2782b-e3f6-4206-9042-9857e59f6554.jpg,e6fdd61d-fcd0-4a5a-9968-3c40ccb9b1da.jpg,95224d12-a26d-4549-8208-5ee3b85f8314.jpg,a9bd2cc7-9c80-43b4-824d-6cb6001edc0b.jpg,NULL,fdebe7c3-a221-4163-bc31-356d3c084146.jpg,d48d841b-a985-4659-b2ea-c3397d8b03c6.jpg,8c76967e-225c-4963-bb81-a16869aaed76.jpg,bd32feaf-9963-4c73-a25e-8ce8ffd95690.jpg,NULL,NULL,NULL
9,1190e82c5c3c11e99f0554ab3a1e6574,3,d6a45150-ca88-41af-a160-f708da94a5d7.jpg,78e22fcd-c6c8-4e6b-916b-96190dec79be.jpg,735df62f-73e2-4cb3-ae1b-5a8b8a6cbf2d.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1190ea015c3c11e99f0554ab3a1e6574,4,5b1f04e2-82e5-47f2-a951-7b88bf4c8b7a.jpg,644caf19-d457-4a4c-9b8f-1c05b218dada.jpg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,f9d5551f-bb93-4629-b0b9-5cc74e4bb68c.jpg,NULL
